Wall time,Step,Value
1685328790.5172427,211199,102.0
1685328797.4616523,211399,102.0
1685328802.6519501,211549,102.0
1685328807.8139768,211699,102.0
1685328877.5199432,212049,103.0
1685328879.217937,212099,103.0
1685328899.8277862,212699,103.0
1685328913.924785,213099,103.0
1685328915.6361322,213149,103.0
1685328924.241683,213399,103.0
1685328932.8430617,213649,103.0
1685329024.2129378,214499,104.0
1685329062.1988184,215599,104.0
1685329157.985879,216449,105.0
1685329170.0616765,216799,105.0
1685329176.9693315,216999,105.0
1685329189.011985,217349,105.0
1685329208.257636,217899,105.0
1685329209.9739108,217949,105.0
1685329211.693786,217999,105.0
1685329278.5795538,218299,106.0
1685329309.6454976,219199,106.0
1685329311.385852,219249,106.0
1685329314.8692715,219349,106.0
1685329350.476068,220063,106.0
1685329406.135882,220149,107.0
1685329435.566325,220999,107.0
1685329465.6169355,221849,107.0
1685329565.808217,222949,108.0
1685329582.9996238,223449,108.0
1685329586.4408088,223549,108.0
1685329595.0204787,223799,108.0
1685329685.7440228,224649,109.0
1685329692.5785584,224849,109.0
1685329696.0246818,224949,109.0
1685329731.999385,225999,109.0
1685329820.7446404,226749,110.0
1685329832.7598007,227099,110.0
1685329843.1224756,227399,110.0
1685329864.0703697,227999,110.0
1685329958.1492512,228899,111.0
1685329984.3197813,229649,111.0
1685329987.790413,229749,111.0
1685330013.821035,230499,111.0
1685330022.424011,230749,111.0
1685330106.7492957,231449,112.0
1685330110.1554418,231549,112.0
1685330118.7931416,231799,112.0
1685330120.4970388,231849,112.0
1685330218.9179752,233049,113.0
1685330243.4059367,233749,113.0
1685330253.8010333,234049,113.0
1685330276.1303952,234699,113.0
1685330373.053088,235349,114.0
1685330379.939462,235549,114.0
1685330406.2337906,236299,114.0
1685330413.1254137,236499,114.0
1685330425.1476092,236849,114.0
1685330572.2476811,239199,115.0
1685330573.9622264,239249,115.0
1685330670.0703616,240349,116.0
1685330676.884699,240549,116.0
1685330685.4280245,240799,116.0
1685330735.0052733,241929,116.0
1685330798.9036832,242399,117.0
1685330802.3636713,242499,117.0
1685330805.8241782,242599,117.0
1685330809.2725325,242699,117.0
1685330837.431293,243499,117.0
1685330911.7822514,243949,118.0
1685330930.5390644,244499,118.0
1685330953.4258249,245149,118.0
1685331041.760519,246149,119.0
1685331060.6357975,246699,119.0
1685331069.6144457,246949,119.0
1685331167.445032,248099,120.0
1685331185.330896,248599,120.0
